,baseMean,log2FoldChange,lfcSE,pvalue,padj
C8orf33,1449.600935,-0.091779764,0.067218792,0.156632787,0.356552836
GEMIN8,247.8471178,0.165302467,0.136387439,0.157071483,0.357493399
FGD1,76.09477758,0.203726329,0.199186396,0.157093355,0.357493399
ARHGEF9,648.2437586,-0.153589496,0.12435097,0.157175603,0.357626637
MIEF2,331.3700034,-0.154891593,0.124709201,0.157246023,0.357732923
COL3A1,2095.555263,-0.211447779,0.227886811,0.157559468,0.358350577
TRNAU1AP,524.0100537,0.151825351,0.121233437,0.157593903,0.358350577
NEXN,50.1749522,-0.213125678,0.253617183,0.157607091,0.358350577
H4C14,160.1971008,0.190953163,0.173587253,0.15761251,0.358350577
GASK1A,961.7000418,-0.111217863,0.083254996,0.157642141,0.35836395
SPIN3,362.8286009,0.140713292,0.110432306,0.157778579,0.358589828
PRRC1,2177.282244,-0.105044669,0.082867282,0.157790651,0.358589828
PTK7,165.6904847,-0.197247958,0.185540128,0.157812793,0.358589828
MICU1,1496.910059,-0.093000074,0.068372922,0.157837616,0.358592235
TOGARAM2,46.88277558,-0.210570665,0.262867562,0.157901668,0.358683754
HELZ2,3124.590963,-0.209426385,0.219111348,0.157970326,0.358785705
OSBPL10,49.73186856,0.20794488,0.260138751,0.158276822,0.35937759
GAPDHS,86.2392359,0.195007111,0.181363389,0.158278559,0.35937759
TSKU,1556.290472,0.111251573,0.08318888,0.158443314,0.359622928
LIG3,456.5243605,-0.160579141,0.131523408,0.158455208,0.359622928
ARHGDIA,12909.31199,-0.138691404,0.108044392,0.158467037,0.359622928
FHOD3,10.65708229,0.136608504,0.289542265,0.15848194,0.359622928
PTPRS,112.8919626,-0.197315198,0.187352855,0.158767193,0.36016565
FHDC1,19.45595091,-0.199830442,0.284982579,0.158791498,0.36016565
PER3,844.2091955,0.167794642,0.140484695,0.158792715,0.36016565
SYCP2,9.058476305,0.125156008,0.284503203,0.158968682,0.360463044
RPL23AP82,264.992909,0.150473866,0.12048409,0.158971608,0.360463044
CDK11A,1979.054611,0.105270699,0.080697221,0.15902068,0.360486452
REC8,429.7177169,-0.136206894,0.106103636,0.159029709,0.360486452
ZNF331,302.7387121,-0.160405704,0.131759835,0.159216873,0.360856506
SLC3A1,10.30887814,0.156427504,0.294086954,0.159277643,0.360934381
CHD7,1034.060033,0.156939388,0.127914383,0.159299071,0.360934381
KPNA3,1988.227914,0.12213629,0.093382572,0.159384003,0.361072603
MED30,192.5961131,-0.165525623,0.137842461,0.159424992,0.361111248
SEC22B,3248.743821,0.099581437,0.073946141,0.159871494,0.362068264
ASB12,8.096668187,0.137036854,0.290014518,0.159912095,0.36210587
TREM1,113.9114345,0.210141927,0.234802462,0.160041282,0.362344029
NAGPA,2377.586382,0.106650606,0.079747219,0.160130797,0.362488482
RPAP1,877.4735287,-0.176807308,0.15309867,0.160154592,0.362488482
ACTL6A,783.2523559,-0.133622354,0.104131838,0.16017715,0.362488482
RAPGEF2,1076.250505,0.155039374,0.125920361,0.160257653,0.362584761
EIF5B,3811.429812,0.107739882,0.080833984,0.160292121,0.362584761
PCGF3,1536.210709,0.128131864,0.097683535,0.160309663,0.362584761
CHPF2,2676.297428,-0.119532008,0.091379757,0.160315807,0.362584761
CTBS,928.8888127,0.130740934,0.100604455,0.160415009,0.362754757
CERS5,1229.442531,-0.115842475,0.088588301,0.160449536,0.362778467
PHLPP2,304.2019115,0.135661355,0.106020952,0.160487394,0.362809705
PITPNB,2227.748225,-0.116299452,0.088427043,0.160601987,0.363014378
EIF1B,1248.852395,0.101320405,0.07550956,0.160660682,0.363083486
MTMR7,45.63094581,0.204326677,0.269031645,0.160680684,0.363083486
MEX3C,860.0491607,-0.130751378,0.101341158,0.16072617,0.36308372
ZMYND15,1090.272925,0.118296218,0.089990994,0.16072891,0.36308372
NOTCH2NLC,467.4867231,0.174037647,0.149758319,0.160800006,0.363189954
FGF14,23.95971833,0.194836804,0.283397792,0.160839448,0.363224674
RAC1,9811.273741,-0.097634202,0.072387096,0.160936834,0.363390217
BCL7A,114.7895668,-0.190497294,0.176095394,0.16098678,0.36344861
PNRC2,2225.134541,-0.107090492,0.080635023,0.161028179,0.363487693
ZFHX4,8.11336375,0.131243561,0.286849523,0.161268638,0.363974738
SLX1A,1749.455999,-0.108683844,0.081927323,0.161292185,0.363974738
KIAA0319L,2377.251065,0.086568466,0.063750262,0.161330519,0.364006808
PRAF2,180.4186015,-0.166063402,0.139592621,0.161431721,0.364180696
BCDIN3D,210.7715827,0.171810566,0.147097753,0.161486082,0.364248875
AEBP2,902.6171567,0.117124126,0.089118784,0.161560736,0.364362802
RHOD,11.75578077,0.148084544,0.292141543,0.161629185,0.364416621
MARK4,1094.847347,-0.158464189,0.130556318,0.161635051,0.364416621
BMAL2,621.3071801,0.158258837,0.130256982,0.161657048,0.364416621
CNTNAP3B,8.904965473,0.111658973,0.280636108,0.161708809,0.364478853
TMEM26,260.3467468,-0.184847384,0.166230258,0.161820634,0.364676429
DMWD,321.494998,0.143948949,0.114782143,0.161946818,0.364906298
DBT,866.17908,0.111385688,0.084286416,0.162188938,0.365397293
C5orf22,593.5979807,0.141911206,0.112808488,0.162263976,0.36549967
ZNF747,442.6797841,-0.126745453,0.098231656,0.162282822,0.36549967
VPS26A,3067.046315,0.11651383,0.088889216,0.162395685,0.365686219
SLC9A7P1,20.70028142,-0.191241624,0.288032887,0.162414118,0.365686219
PIDD1,460.4999456,-0.149398789,0.120816352,0.162613053,0.366079512
LTBR,3534.6615,0.110644305,0.083926793,0.162650875,0.36611004
GPN2,960.89609,-0.163358604,0.136896509,0.162678832,0.366112831
FAM86DP,14.50013887,0.186404777,0.291099249,0.162705374,0.366112831
ATP6V1A,4061.524725,0.110180821,0.078697172,0.162724901,0.366112831
LYSMD4,269.2830337,0.155216809,0.127404742,0.162788327,0.36611946
OSM,164.4512743,-0.181368095,0.161918467,0.162798967,0.36611946
BTBD2,1984.29798,-0.133417649,0.104739166,0.162800635,0.36611946
TMEM268,956.3479719,0.097751753,0.072957898,0.162848545,0.366170421
ZNF263,837.6712465,0.108133926,0.081721848,0.162871827,0.366170421
PLCD1,346.3978743,0.146524772,0.117879168,0.16297601,0.366345866
SKIC3,1962.40987,0.117941851,0.090295009,0.162998419,0.366345866
CASKIN1,17.09376417,-0.079206033,0.272282038,0.163045756,0.366349316
