,baseMean,log2FoldChange,lfcSE,pvalue,padj
ESCO2,403.967316,0.377900936,0.131453068,0.000200287,0.009110823
MFGE8,1271.287372,-0.244796422,0.080464616,0.000202332,0.009162743
ANXA3,82.00509638,0.632758722,0.228583454,0.000206164,NA
ASIC3,146.5622498,-0.602919307,0.215761042,0.000206761,NA
MAPK3,1353.158098,-0.256835483,0.08518842,0.000209096,0.009404744
ARMC5,609.3034087,-0.321909055,0.110041028,0.000210501,0.009404744
UBE2W,1295.7012,0.27072249,0.090911173,0.000212085,0.009404744
IARS1,5570.206719,0.259695353,0.086322989,0.000212222,0.009404744
C1orf21,353.1414818,0.376453443,0.13181183,0.000212311,0.009404744
PPDPF,1340.055666,-0.273075567,0.091295423,0.00021488,0.009408634
HEATR1,1447.942968,0.215144069,0.069963536,0.000214895,0.009408634
ITGB1,18187.34351,0.177794447,0.056168481,0.000215425,0.009408634
MAP3K11,5570.309348,-0.275582932,0.092726497,0.000217,0.009408634
STXBP2,7485.886297,-0.189112681,0.060037533,0.000217037,0.009408634
CALCOCO1,3257.04753,-0.244279344,0.08082115,0.000219775,0.009445927
GAS2L1,2157.164603,-0.245027364,0.081254896,0.000220148,0.009445927
SIRT2,1740.640481,-0.207614772,0.06707794,0.000221351,0.009445927
MRNIP,751.2335781,-0.215621123,0.070206735,0.000221622,0.009445927
NFATC1,1130.814017,-0.247713388,0.082169682,0.000224183,0.009515128
TMEM94,2728.711093,-0.380126261,0.133161106,0.00022785,0.00962667
TNS2,732.7916042,-0.447936335,0.159752382,0.000228709,0.00962667
CPED1,1705.92948,0.205123313,0.066835869,0.000237979,0.009975464
UCHL5,881.2831403,0.256128741,0.086570164,0.000239572,0.009998346
TMEM192,1383.911308,0.214397975,0.070524892,0.000243602,0.009998346
UBXN6,5318.08853,-0.167719214,0.052768358,0.000243667,0.009998346
HNMT,3984.837038,0.170062718,0.053747401,0.000244633,0.009998346
RTN4R,446.302276,-0.353937846,0.124720817,0.000244701,0.009998346
LIG3,510.7358755,0.256746602,0.086897261,0.000244804,0.009998346
JAK2,1630.214839,0.212955753,0.070204239,0.000245425,0.009998346
PTPN6,9007.192452,-0.17337536,0.055546893,0.00025094,0.010182122
NPAS1,92.51951,-0.630169337,0.232285274,0.000251992,NA
SPEN,3200.445745,-0.265200919,0.090277816,0.000253523,0.010235153
FAM111B,368.0043166,0.289335983,0.100292935,0.000254264,0.010235153
SYNGR2,7881.227983,-0.152474086,0.049222701,0.000258372,0.01027148
