,baseMean,log2FoldChange,lfcSE,pvalue,padj
XPOT,5025.57521,0.271233783,0.056928273,2.28E-07,1.45E-05
LFNG,1054.597379,0.374232002,0.080037997,2.30E-07,1.45E-05
TMT1A,2205.785998,-0.50791533,0.10977884,2.32E-07,1.46E-05
DUSP6,1438.368124,0.590245055,0.12909996,2.45E-07,1.53E-05
MAPK3,1353.158098,-0.387136225,0.083078577,2.52E-07,1.57E-05
NME1,1458.892977,0.424351417,0.092103458,2.55E-07,1.58E-05
RTN4R,446.302276,-0.549121731,0.119811825,2.69E-07,1.65E-05
ATAD3B,885.3737444,0.392086839,0.084662005,2.69E-07,1.65E-05
SLC5A3,7530.57681,0.389288444,0.083647268,2.85E-07,1.74E-05
SCRN1,2588.180674,0.313846584,0.06724862,3.08E-07,1.87E-05
CRTAP,4419.728259,-0.255776504,0.054268944,3.29E-07,2.00E-05
CDS1,378.6161967,0.525078543,0.115491417,3.40E-07,2.05E-05
TLR7,2762.152996,-0.373309254,0.081728546,3.87E-07,2.32E-05
SCIN,1739.509907,-0.248883528,0.056146603,3.98E-07,2.37E-05
DNAJC10,3762.501756,0.350107839,0.076731334,4.14E-07,2.46E-05
WDR91,2450.587589,-0.348411218,0.076181214,4.16E-07,2.46E-05
MSANTD3,577.9985301,0.483585171,0.107752744,4.25E-07,2.51E-05
SELENOP,6668.61248,-0.40349646,0.089309244,4.33E-07,2.54E-05
TSKU,1264.632559,-0.431304386,0.095562392,4.42E-07,2.58E-05
GABRE,405.7084385,-0.642879125,0.144776278,4.84E-07,2.81E-05
IRS2,1605.279005,-0.371027082,0.082125534,5.06E-07,2.92E-05
PLEK2,1013.476769,0.401623457,0.089568633,5.17E-07,2.98E-05
SUSD3,1105.718959,-0.510670739,0.114947151,5.43E-07,3.11E-05
CD81,42459.48431,-0.299758453,0.066577526,5.49E-07,3.14E-05
NPL,4281.968498,-0.246336695,0.053553903,5.62E-07,3.19E-05
MCTP1,1174.253554,0.291372357,0.064171398,6.02E-07,3.40E-05
CSF1R,30752.63839,-0.407205552,0.091351173,6.37E-07,3.59E-05
TMEM37,478.7196141,-0.413750636,0.09312239,6.40E-07,3.59E-05
MT-CYB,110538.8642,-0.259406526,0.057538002,6.50E-07,3.63E-05
DEPTOR,170.922592,-0.652500931,0.149256488,6.53E-07,3.63E-05
ETV5,2902.536757,0.322886397,0.072054159,6.80E-07,3.75E-05
HLA-DPA1,841.2352709,-0.496722085,0.112690838,6.80E-07,3.75E-05
MLYCD,783.6241237,-0.361951052,0.081246208,6.91E-07,3.79E-05
KLHL24,2747.579232,-0.418146405,0.094763965,6.96E-07,3.80E-05
PPDPF,1340.055666,-0.393238229,0.088771623,7.15E-07,3.87E-05
FOXN3,2697.743035,-0.340100057,0.076121975,7.15E-07,3.87E-05
HEXA,8685.14661,-0.161138228,0.03442505,7.17E-07,3.87E-05
KLF4,880.7329074,-0.365698153,0.082359721,7.32E-07,3.93E-05
CAPN2,2558.341805,0.385688417,0.087456453,7.42E-07,3.97E-05
TRAF3,3165.687777,0.286855046,0.063627147,7.57E-07,4.03E-05
BTG2,3683.482772,-0.33896427,0.076137169,7.74E-07,4.10E-05
MRTO4,1129.931455,0.311866039,0.069949519,8.02E-07,4.24E-05
MAMLD1,392.5942857,0.449339023,0.103771998,8.25E-07,4.34E-05
LARS1,3838.733748,0.298916301,0.066941794,8.90E-07,4.66E-05
FUS,9908.854691,0.349256129,0.079463638,9.19E-07,4.80E-05
