,baseMean,log2FoldChange,lfcSE,pvalue,padj
PLA2G15,5035.957394,-0.215741399,0.056367316,1.04E-05,0.00080169
ANPEP,5770.798803,0.229873825,0.060531202,1.07E-05,0.000819989
PTCRA,315.0290582,-0.434282453,0.117920406,1.08E-05,0.00082115
EPOP,414.3466265,0.373143225,0.101408775,1.16E-05,0.000874935
GALC,2872.575049,-0.233294477,0.061821808,1.17E-05,0.000874935
DYNC1LI2,3445.836458,0.182966225,0.047868541,1.19E-05,0.000882738
DUSP5,482.296739,0.326868097,0.0886562,1.26E-05,0.000932364
NIBAN2,15399.32658,0.196105409,0.051043821,1.28E-05,0.000944069
VWA5A,3237.986402,-0.208094777,0.055200394,1.30E-05,0.000947521
SH3PXD2B,3407.945766,0.213809459,0.056661503,1.31E-05,0.000951061
OLFML3,422.1950867,-0.466032996,0.128843809,1.32E-05,0.000955964
MT1G,216.0935375,-0.657361961,0.183686959,1.34E-05,0.000961984
WASF2,8911.979275,-0.146035049,0.037426645,1.37E-05,0.000977434
TMEM144,1151.135465,-0.277138237,0.075533973,1.45E-05,0.001030852
ATAD3B,885.3737444,0.294778403,0.080443803,1.46E-05,0.001031829
FOSL2,1606.83484,0.259185642,0.070361348,1.49E-05,0.001044596
PLEKHO1,5339.915394,0.207429618,0.054479613,1.53E-05,0.001066228
DEPTOR,170.922592,-0.513778886,0.144580255,1.63E-05,0.001128267
FGR,2989.260947,0.211008854,0.056840976,1.68E-05,0.001153924
TUBB6,3960.30507,0.268166002,0.073740789,1.71E-05,0.001172172
KCNQ3,792.5429747,-0.410228319,0.115647531,1.77E-05,0.001207443
MICALL1,2339.630266,0.290940284,0.080582616,1.80E-05,0.001214623
RND3,1093.604092,0.351666095,0.098577225,1.82E-05,0.001224084
DUSP4,439.3367616,0.306873135,0.08576108,1.89E-05,0.001255503
PRMT1,2789.284896,0.192500049,0.051793771,1.89E-05,0.001255503
RHOBTB2,3550.735327,-0.261769226,0.072371526,1.90E-05,0.001255503
DSC2,2498.236633,-0.193884293,0.052424826,1.97E-05,0.001296672
VDR,3500.757898,0.230624713,0.063515041,2.02E-05,0.001319532
TMT1A,2205.785998,-0.369593688,0.104979266,2.08E-05,0.001355262
MT1X,254.5099832,-0.53629324,0.154918848,2.10E-05,0.001357756
FMNL1,8390.031953,0.245389701,0.068044217,2.20E-05,0.001407312
SESN1,933.3800304,-0.374197899,0.106781552,2.19E-05,0.001407312
IKBKE,2230.624395,0.182273801,0.049339876,2.22E-05,0.001412715
SLIT3,748.0598291,0.301283853,0.085175694,2.35E-05,0.001490577
SLC45A4,855.64728,-0.342265763,0.097974977,2.43E-05,0.001527938
HEXA,8685.14661,-0.125583372,0.032374083,2.46E-05,0.001538605
BLTP3A,2831.660242,-0.191504083,0.052610729,2.49E-05,0.0015526
GAS6,1799.946655,-0.261794171,0.073737148,2.53E-05,0.001563735
HK3,7783.26267,0.170921663,0.046407797,2.55E-05,0.001563735
LAMP2,7358.862717,-0.163894016,0.0435948,2.54E-05,0.001563735
COL5A3,221.0950017,0.575577225,0.168405969,2.62E-05,0.001599436
NBR1,3525.479709,-0.165163605,0.044886231,2.70E-05,0.001637723
NPIPB11,1158.803992,0.24879998,0.07036464,2.76E-05,0.00165959
PRKCH,325.0435881,0.460662355,0.134836582,2.76E-05,0.00165959
IDH1,9695.239072,-0.177351672,0.048518103,2.82E-05,0.001683298
ITGAM,11850.88956,0.213415941,0.059788047,2.83E-05,0.001683298
CLDN1,1695.082156,0.651178634,0.192680292,2.89E-05,0.00171419
SNX30,3586.903042,-0.176506531,0.049179342,2.92E-05,0.00171924
MFHAS1,2251.976257,-0.357980342,0.104600177,3.00E-05,0.001751349
PNRC1,1834.564315,-0.230014062,0.065181492,3.00E-05,0.001751349
DOCK11,2301.054858,-0.175945164,0.04876001,3.17E-05,0.001831751
GAS7,7278.470344,-0.216599767,0.061126846,3.15E-05,0.001831751
TLR4,4334.702529,-0.212443164,0.059489419,3.19E-05,0.00183214
CCPG1,3710.134971,-0.173282841,0.048173062,3.28E-05,0.001877349
MAT2A,6098.604749,0.159952629,0.044083435,3.43E-05,0.001951059
INHBA,101.2573046,0.669962598,0.200862544,3.45E-05,0.001955931
CYP19A1,496.2256576,-0.5256533,0.157507694,3.56E-05,0.002010046
CAPN2,2558.341805,0.283138248,0.083005342,3.65E-05,0.002049419
BTD,726.1603988,-0.260253223,0.076193389,3.83E-05,0.002118143
HLA-DPA1,841.2352709,-0.362957297,0.108420013,3.84E-05,0.002118143
NFKB2,3170.922867,0.286237583,0.084627332,3.81E-05,0.002118143
TGFBR1,10721.07586,-0.220644202,0.063432637,3.82E-05,0.002118143
HADH,1264.07974,-0.247983167,0.072257629,3.91E-05,0.002135272
HLA-DMA,1145.954152,-0.294061989,0.086977317,3.90E-05,0.002135272
FGD4,1856.279384,-0.243360247,0.070316449,3.94E-05,0.002142177
WIPF3,638.1701851,-0.312984137,0.092941891,4.02E-05,0.002175853
NES,2805.529072,0.292434182,0.086373953,4.10E-05,0.002207711
LRRC39,625.7388816,-0.356753686,0.107175714,4.21E-05,0.002257308
NPC2,16120.82437,-0.162038133,0.047950284,4.33E-05,0.00231256
TLNRD1,2035.178174,0.21706534,0.063119712,4.42E-05,0.002348536
CAPN15,2500.135286,0.273001885,0.080986175,4.50E-05,0.002379522
SLC46A2,171.835247,-0.532448335,0.163057444,4.52E-05,0.002379522
CCL5,788.3875405,0.38365091,0.116981471,4.73E-05,0.002479653
CAT,2671.082039,-0.218861465,0.064363456,5.04E-05,0.002629307
TAGLN2,12353.77131,0.190141591,0.054907932,5.06E-05,0.002629307
CFH,127.5955945,-0.47579091,0.147447642,5.28E-05,0.0027349
OSBPL1A,1928.471738,-0.211642062,0.062301294,5.35E-05,0.002758849
CPNE3,1469.407803,-0.261571388,0.079990942,5.46E-05,0.0027798
CXCL8,4410.897522,0.371534053,0.114174667,5.42E-05,0.0027798
F13A1,170.8097853,-0.767683615,0.242469347,5.44E-05,0.0027798
CXCL1,240.7367152,0.527833864,0.165235581,5.63E-05,0.002837967
