,baseMean,log2FoldChange,lfcSE,pvalue,padj
NPIPP1,114.1432974,0.021652321,0.162811537,0.867670017,0.935092799
RBSN,791.839534,-0.014641447,0.095363242,0.867671927,0.935092799
VAV2,776.1934483,0.012778853,0.081219377,0.867985525,0.935318414
SNAP25,27.51110091,-0.01948765,0.215289307,0.86802976,0.935318414
GNPNAT1,617.4743659,-0.017473627,0.117540958,0.868067223,0.935318414
SIT1,120.428986,0.020195441,0.149558775,0.868209781,0.935405226
C3orf18,113.6587077,0.020979432,0.157307218,0.868492469,0.935571964
PXDN,154.4708393,0.02037224,0.15292104,0.868591549,0.935571964
OGN,20.53639324,-0.015413526,0.239952758,0.868642324,0.935571964
LECT2,8.616409151,0.014334901,0.24596502,0.868650551,0.935571964
BCLAF3,377.6753506,0.017361478,0.116292629,0.868674539,0.935571964
KLF2P1,43.23939106,0.021209933,0.207965318,0.868743629,0.9355796
LAX1,17.94464303,0.019179697,0.225807294,0.868982984,0.935770587
H3C14,15.69803865,0.014270618,0.245863377,0.869474778,0.936143726
DCANP1,21.80911312,0.007296389,0.258266669,0.869507954,0.936143726
OAZ3,45.76690207,-0.021132594,0.198153144,0.869515604,0.936143726
NLRC3,18.15411082,0.018973993,0.226246322,0.869750323,0.936224984
PRKCE,200.8364193,0.02137379,0.169327088,0.869864209,0.936224984
VASH2,19.26714361,0.017423964,0.23441608,0.869950502,0.936224984
SLC39A10,960.2851447,-0.018626017,0.12999014,0.869971456,0.936224984
CEP89,501.3918608,0.019101795,0.135002404,0.870021321,0.936224984
CCDC62,25.39341745,0.017877031,0.231630186,0.870077402,0.936224984
KLB,8.570654582,0.013775479,0.247000802,0.870152649,0.936224984
TTF1,550.3188761,0.015706618,0.105308489,0.870155285,0.936224984
PXYLP1,43.44092218,0.020912967,0.208390118,0.87019396,0.936224984
AGPAT5,736.7796941,0.01637439,0.109382272,0.870211506,0.936224984
VPS13B,1402.521233,-0.012239606,0.080574387,0.870502661,0.936445537
PNMA8A,718.9956944,-0.014101048,0.093572996,0.870540623,0.936445537
ARB2A,360.0977469,-0.017024746,0.11751684,0.870673325,0.936481061
MMP25,58.61312116,0.021477546,0.188778391,0.870753855,0.936481061
CNFN,8.553621076,0.014316742,0.245064973,0.870759826,0.936481061
PIGAP1,12.46732591,0.016681622,0.236943917,0.871361192,0.937061031
C12orf43,496.7809144,0.015524274,0.104330447,0.871430446,0.937068726
CEP104,1063.75166,-0.01304239,0.088351978,0.871682033,0.937245365
ATP6AP1,19472.58664,-0.012825423,0.091317526,0.871722662,0.937245365
SLC35B4,1051.337942,-0.013889931,0.092797133,0.871797297,0.937245365
SLC26A2,809.4419909,0.015281546,0.102283132,0.871843154,0.937245365
LRRN1,12.69680651,-0.011990958,0.248781478,0.871918869,0.93725999
CHURC1-FNTB,17.14225368,-0.006701375,0.258384419,0.872055096,0.937339653
CHRNB4,15.16536707,0.017413313,0.233205747,0.872344176,0.937401833
PARP12,4569.318777,-0.011045117,0.075742137,0.872349341,0.937401833
SMIM1,15.16261012,0.018213952,0.229155128,0.872357856,0.937401833
RGMB,335.9163108,0.016031495,0.110375675,0.872433442,0.937401833
ARPC4-TTLL3,82.4486417,-0.020787086,0.190065714,0.872448196,0.937401833
B4GALT2,562.7865733,0.018361787,0.129458903,0.872541505,0.937401833
STK24,3175.880738,0.013198295,0.091572829,0.87254779,0.937401833
TEX264,1883.298398,-0.012609169,0.083135613,0.872953488,0.937770922
MGAT3,49.50343879,-0.017859423,0.226467709,0.873148666,0.937913821
LAIR2,10.99318462,0.016086717,0.238307868,0.873218765,0.937922355
CORIN,26.79231925,-0.018412015,0.222166629,0.873323588,0.937968181
TECPR1,2010.00399,-0.020288598,0.173068194,0.873409637,0.937993839
SP3,2340.750577,-0.011543194,0.075259163,0.873511851,0.938036851
SUMF2,5185.345038,-0.010858518,0.070722763,0.873669848,0.938099491
CDKN1B,1110.620005,-0.011558944,0.079456974,0.873711375,0.938099491
GLS,2872.586861,-0.012863532,0.08666281,0.873911941,0.938099491
RRBP1,8535.875199,-0.013779923,0.093950282,0.87392631,0.938099491
MSRB2,383.7434781,-0.016568318,0.114273401,0.873932172,0.938099491
SLC6A20,22.58181922,-0.018202162,0.223982025,0.873943184,0.938099491
ACAD11,471.5379076,-0.015459618,0.106660882,0.874020092,0.938115313
ZNF350,181.3124734,0.020350763,0.162339622,0.87437873,0.938433502
PPT2,517.609177,0.01687341,0.119059825,0.874493728,0.93845387
SERF1B,139.0197534,-0.02023273,0.168445419,0.874522089,0.93845387
TTC16,8.417427729,-0.01383395,0.244150592,0.874879973,0.938733686
ENY2,1807.351177,0.012591855,0.085133602,0.874907261,0.938733686
